Course Code;Course Name;Credits
ECON 444;Bargaining Theory and Experiments in Economics;3
ECON 448;Economics of Information;3
ECON 453;Theories of Economic Growth and Development I;3
ECON 454;Theories of Economic Growth and Development II;3
ECON 455;Institutions and Development;3
ECON 457;Alternative Theories of Growth and Distribution;3
ECON 458;Labor Market Economics;3
ECON 460;Economics of Globalization;3
ECON 464;Global Trading;3
ECON 499;Individual Study;3
ECON 500;Mathematics Review Course;3
ECON 503;Microeconomic Theory I;3
ECON 504;Microeconomic Theory II;3
ECON 505;Macroeconomic Theory I;3
ECON 506;Macroeconomic Theory II;3
ECON 509;Probability and Statistics I;3
ECON 510;Probability and Statistics II;3
ECON 511;Econometrics I;3
ECON 512;Econometrics II;3
ECON 513;Game Theory I;3
ECON 515;Mathematics for Economists I;3
ECON 516;Mathematics for Economists II;3
ECON 519;Theory of Fair Allocation;3
ECON 521;International Trade;3
ECON 530;Topic in Mathematical Economics;3
ECON 541;Economics of Labor Market;3
ECON 564;Topics in Macroeconomic Theory II;3
ECON 575;Monetary Economics I;3
ECON 576;Monetary Economics II;3
ECON 591;Masters Pre-Thesis Seminar I;0
ECON 592;Masters Pre-Thesis Seminar II;0
ECON 595;Research Paper I;0
ECON 596;Research Paper II;0
ECON 599;Master's Thesis;0
ECON 691;Ph.D. Pre-Thesis Seminar I;0
ECON 692;Ph.D. Pre-Thesis Seminar II;0
ECON 695;Research Methods in Economics I;3
ECON 696;Research Methods in Economics II;3
ECON 699;Ph.D. Dissertation;0
HCIV 101;History of Civilization I;3
HCIV 102;History of Civilization II;3
HIST 200;History of Turkey;4
HIST 209;History of Turkey;4
HIST 313;Classical Arabic I;3
HIST 314;Classical Arabic II;3
HIST 315;Advanced Classical Arabic I;3
HIST 316;Advanced Classical Arabic II;3
HIST 401;Ottoman Turkish and Paleography I;4
HIST 402;Ottoman Turkish and Paleography II;4
HIST 411;Ottoman History: 1300-1600;3
HIST 412;Ottoman History: 1600-1914;3
HIST 413;Byzantine History I: 324-1025;3
HIST 414;Byzantine History II: 1025-1453;3
HIST 416;Medieval British History;3
HIST 417;Medieval Europe (500-1500);3
HIST 418;Modern Europe (1453-1914);3
HIST 431;History of the United States until the Reconstruction;3
HIST 432;History of the United States from the Reconstruction;3
HIST 435;History of US Foreign Relations: the Cold War and Beyond;3
HIST 481;Latin for Medieval and Early Modern History I;3
HIST 482;Latin for Medieval and Early Modern History II;3
HIST 490;Field Related Seminar;0
HIST 501;Ottoman Paleography I;4
HIST 502;Ottoman Paleography II;4
HIST 505;Ottoman Rule in Southeast Europe I: 1354-1600;3
HIST 506;Ottoman Rule in Southeast Europe II: 1600-1878;3
HIST 507;Methodology in History I;3
HIST 508;Methodology in History II;3
HIST 509;Latin Palaeography for Medieval and Early Modern European History;3
HIST 511;Ottoman Social and Economic History I;3
HIST 512;Ottoman Social and Economic History II;3
HIST 517;Ottoman Millet System;3
HIST 518;Introduction to Ottoman Diplomatics;3
HIST 519;Sources of Ottoman Social and Economic History I;3
HIST 520;Sources of Ottoman Social and Economic History II;3
HIST 523;England (1300-1600): History and Texts;3
HIST 524;US in the Vietnam Era;3
HIST 526;Advanced Ottoman Diplomatics;3
HIST 527;Feudalism: East and West I;3
HIST 528;Migrations Politics and Society in Late Ottoman History;3
HIST 529;Bulgaria under the Ottoman Rule: History and Sources;3
HIST 530;Comparative History of Crusading and Holy War;3
HIST 545;Themes in Historical Geography and Demography;3
HIST 549;Rebellions and Revolutions in Early Modern History;3
HIST 555;Modernization of the Ottoman Empire During the 19.Century;3
HIST 559;Economic History, the Rise of Capitalism;3
HIST 560;Major Issues in Medieval and Early Modern Economies;3
HIST 563;Islamic Culture in the Ottoman Balkans, 1400-1600;3
HIST 564;Islamic Culture in the Ottoman Balkans, 1600-1900;3
HIST 567;History and Literature in the Ottoman Empire;3
HIST 569;Cultural History of the Ottoman Empire I;3
HIST 570;Cultural History of the Ottoman Empire II;3
HIST 577;US Military and Diplomatic History;3
HIST 578;Magna Carta and Associated Documents:Texts and Contexts;3
HIST 579;Modernization of the Ottoman Empire:1800-1923;3
HIST 581;Latin for Medieval and Early Modern History III;3
HIST 588;The Latin Kingdom of Jerusalem 1099-1291;3
HIST 589;History of Arab Nationalism in the Middle East;3
HIST 593;Seminar in English History I;3
HIST 595;Seminar in American History I;3
HIST 599;Master's Thesis;0
HIST 605;History of Ottoman Diplomacy;3
HIST 617;Ottoman Intellectual Life in the Reform Period, 1839-1914;3
HIST 692;Pre-Thesis Seminar;0
HIST 693;Pre-Thesis Seminar;0
HIST 699;Ph.D. Dissertation;0
HIST 702;Modern Middle East since 1800;3
HIST 704;Medieval Nobilities;3
HIST 705;History of Russia: From Tsardom to Empire;3
HIST 707;The United States and the Second World War;3
HIST 708;European Migration to the Ottoman Empire and Early Republican Turkey;3
HIST 711;Russia and Turkey;3
HIST 713;History of European Integration;3
HIST 714;Central Eastern Europe (1815-1945);3
HIST 4413;Venice between the Byzantines and the Ottomans(ca.300-ca.1700 CE);3
HIST 5513;Venice between the Byzantines and the Ottomans (ca. 300 - ca. 1700 CE);3
HIST 5514;Cities of the Empires:Eastern Mediterranean Urbanism From Late Antiquity to The Early Ottoman Era;3
HIST 5515;Byzantium and the Muslim World (from the rise of Islam to the formation of the Ottoman Empire);3
HIST 5516;The Vikings;3
HIST 5660;Peter the Great: The Birth of Modern Russia (1682-1725);3
IR 101;Introduction to World Politics;3
IR 205;Diplomatic History;3
IR 214;Global Environmental Issues;3
IR 215;Introduction to Middle Eastern Politics;3
IR 227;Research Methods in International Relations;3
IR 236;20th Century World Politics;3
IR 303;International Law;3
IR 305;International Organizations;3
IR 308;Turkic/Muslim People of the Former USSR;3
IR 311;Russian History;3
IR 322;International Protection of Human Rights;3
IR 331;War, Peace and Security;3
IR 333;Foreign Policy Analysis;3
IR 335;International Relations Theory;3
IR 338;Politics of International Economy;3
IR 348;Post Communist Conflicts: Roots, Explanations and Prospect;3
IR 349;International Relations in Movies;3
IR 350;Negotiation and Mediation in Politics;3
IR 351;Globalization;3
IR 353;Energy Security and Foreign Policy;3
IR 354;Introduction to Middle East Politics;3
IR 355;Public Policy Making in the European Union;3
IR 356;International Development Assistance;3
IR 358;International Security;3
IR 359;Civil Societies in Peace and Conflict;3
IR 360;Government and Politics in Central and Eastern Europe;3
IR 361;Global Labour Issues;3
IR 399;Summer Training;0
IR 401;American Politics and Foreign Policy;3
IR 413;Game Theory and International Politics;3
IR 438;Use of Force in International Law;3
IR 439;Turkish Foreign Policy;3
IR 441;Latin American Politics;3
IR 454;International Environmental Politics;3
IR 463;Political Economy of Turkey;3
IR 464;History of the Cold War;3
IR 470;International Terrorism and Transnational Crime;3
IR 477;Political Economy of Natural Resources;3
IR 488;Security and Strategy;3
IR 492;Gender in International Relations;3
IR 493;European Union;3
IR 494;Causes and Prevention of War;3
IR 495;World Energy Politics;3
IR 498;International Relations and Media;3
IR 501;International Relations Theory;3
IR 507;Foreign Policy of the United States;3
IR 509;Pre-thesis Seminar;0
IR 522;Foreign Policy Analysis;3
IR 547;International Politics;3
IR 572;European Union Integration, EU and OECD Economies;3
IR 578;History of the Cold War;3
IR 599;Master's Thesis;0
IR 614;New Directions in Security Studies;3
IR 621;Current Debates in International Relations Theory;4
IR 625;Advanced Diplomatic History;4
IR 629;Global Political Economy;3
IR 649;The Soviet Union and The Second World War;3
IR 650;The Soviet Union Under Stalin (1924-1953);3
IR 660;Peter the Great: The Birth of Modern Russia (1682-1725);3
IR 665;The Diaspora Phenomenon;3
IR 690;Pre-Thesis Seminar;0
IR 699;Ph.D. Dissertation;0
IR 4005;Issues in International Political Economy;3
IR 4104;The Politics and Foreign Policy of Southeast Europe;3
IR 4109;Issues for Turkey in Global Political Economy;3
IR 4114;Religion and IR Theories;3
IR 4115;Turkey's International Relations and the Middle East;3
IR 4116;International Logistics;3
IR 4117;Global Governance;3
IR 4120;Globalization, Development and the Environment in World Politics;3
IR 4121;Intervention in International Relations;3
IR 4123;Environment, Climate Change and Sustainable Development;3
IR 4124;European Union Foreign Policy;3
IR 4125;Contemporary Debates in Geopolitics;3
IR 4127;Citizenship and Identity in the European Union;3
IR 4128;The International Politics of Forced Migration;3
IR 4129;Oil and Gas Law;3
IR 4140;Rising Powers in Global Politics;3
IR 4141;Current Issues in European Union Politics;3
IR 4142;Sports and Global Relations;3
IR 4144;Politics and Conflict in Sub-Saharan Africa;3
IR 4147;International Politics;3
IR 4195;Intelligence and Strategic Analysis;3
IR 4196;Cultural Heritage: Politics, Management, Regulations;3
IR 4197;Humanitarian Action and Development: Sectors and Skills;3
IR 4198;Nuclear Proliferation and International Politics;3
IR 5103;American Politics and Foreign Policy;3
IR 5104;Issues in Turkish Foreign Policy;3
IR 5105;Issues in International Political Economy;3
IR 5107;EU Public Policy;3
IR 5114;Religion and IR Theories;3
IR 5115;Transnational Security;3
IR 5116;International State-Building;3
IR 5119;Issues for Turkey in Global Political Economy;3
IR 5140;Rising Powers in Global Politics;3
IR 5441;Latin American Politics;3
MIAPP 501;Term Project;0
MIAPP 516;International Logistics;3
MIAPP 555;Public Policy Making in the European Union;3
POLS 101;Introduction to Political Science I;3
POLS 104;Introduction to Political Science II;3
POLS 201;Fundamentals of Social Research;3
POLS 222;Politics of the Environment;3
POLS 229;Turkish Political History I;3
POLS 230;Turkish Political History II;3
POLS 235;Political Psychology;3
POLS 238;Negotiation and Mediation in Politics;3
POLS 240;Social Transformation in Turkey;3
POLS 303;Comparative Politics I;3
POLS 304;Comparative Politics II;3
POLS 305;Turkish Political Development;3
POLS 306;Contemporary Turkish Politics;3
POLS 309;Turkish Political Thought I;3
POLS 323;Political Anthropology;3
POLS 324;Research Methods;3
POLS 330;European Society and Culture;3
POLS 331;State and Society in Israel;3
POLS 334;Turkish Political Thought II;3
POLS 338;Cosmopolis: From the Roman to the Ottoman and British Empires;3
POLS 343;Social Theory: Past and Present;3
POLS 344;Turkish Nationalism :Politics and Ideology;3
POLS 346;Ethnographic Research and Politics;3
POLS 347;Liberty and Liberalism;3
POLS 353;Foundations of Modern Political Theory;3
POLS 355;Issues of Urbanization;3
POLS 357;Ethics and Morality in Daily Life;3
POLS 399;Summer Training;0
POLS 407;Contemporary Political Ideologies;3
POLS 411;Gender and Politics;3
POLS 420;Theory and Modern Society;3
POLS 421;Issues in Modern Political Thought;3
POLS 426;Civil Society in Turkey;3
POLS 431;Politics and Society in Turkey;3
POLS 437;Politics and Literature;3
POLS 449;Political Concepts;3
POLS 452;State Society and Citizenship in Turkey;3
POLS 454;Politics Media and Propaganda;3
POLS 458;Nationalism and Citizenship in Comparative Perspective;3
POLS 463;Politics of Security;3
POLS 464;Interculturalism and Europe;3
POLS 465;Governance and Public Policy;3
POLS 466;Issues in Political Theory;3
POLS 467;Conflict, Violence, and Peace;3
POLS 469;Regional Security in the Middle East;3
POLS 473;Democratization Process in Turkey;3
POLS 480;European Politics;3
POLS 483;Liberalism and Socialism: Past and Present;3
POLS 484;Life, Nature and Politics;3
POLS 486;Issues in Comparative Politics;3
POLS 488;Film and Politics;3
POLS 490;Democracy, Development and Human Rights;3
POLS 491;Issues of Urbanization;3
POLS 495;International Political Economy;3
POLS 496;Aesthetics and Politics;3
POLS 497;Local and Global in Cities;3
POLS 498;Individual, Society and Violence;3
POLS 499;Individual Study;3
POLS 504;Comparative Welfare States;3
POLS 536;Turkish Politics in Comparative Perspective;3
POLS 551;Pre-Thesis Seminar I;0
POLS 560;Contemporary Political Theory;3
POLS 565;European Politics;3
POLS 568;Urban Politics;3
POLS 569;Regional Security in the Middle East;3
POLS 596;Aesthetics and Politics;3
POLS 599;Master's Thesis;0
POLS 601;Seminar in Turkish Politics;3
POLS 602;Seminar in Comparative Politics;3
POLS 604;Democratization Process in Turkey;3
POLS 605;The Public Sphere;3
POLS 606;Seminar in Political Theory;3
POLS 608;Politics, Culture, Nation and Gender;3
POLS 609;Issues in Urban Studies;3
POLS 610;Research Methods;3
POLS 612;Seminar in Social and Cultural Studies:;3
POLS 635;Politics of Turkish Modernization;3
POLS 636;Nationalism and Politics;3
POLS 637;Power and State;3
POLS 639;The Ecology of Social Relations and Cultural Processes;3
POLS 645;Voting Behavior and Political Parties;3
POLS 646;Politics of the Self;3
POLS 651;Pre-Thesis Seminar I;0
POLS 699;Ph.D. Dissertation;0
POLS 4130;Public Financial Administration;3
POLS 4131;Model Parliament;1
POLS 4204;Politics of The Balkans;3
POLS 4504;Comparative Welfare States;3
POLS 4536;Turkish Politics in Comparative Perspective;3
POLS 4560;Contemporary Political Theory;3
POLS 4568;Urban Politics;3
POLS 5431;Politics and Society in Turkey;3
POLS 5437;Politics and Literature;3
POLS 5463;Politics of Security;3
POLS 5467;Conflict, Violence, and Peace;3
POLS 5486;Issues in Comparative Politics;3
POLS 5490;Democracy, Development, and Human Rights;3
SOC 101;Introduction to Sociology;3
PSYC 100;Introduction to Psychology;3
PSYC 101;Introduction to Psychology I / Cognitive and Biological;3
PSYC 102;Introduction to Social Psychology;3
PSYC 103;Introduction to Psychology II / Social and Developmental;3
PSYC 200;Cognitive Psychology;3
PSYC 203;Statistics I;3
PSYC 204;Research Methods I;3
PSYC 205;Statistics II;3
PSYC 206;Research Methods II;3
PSYC 220;Brain and Behavior;3
PSYC 230;Social Psychology;3
PSYC 240;Developmental Psychology;3
PSYC 310;Perception, Attention, and Action;3
PSYC 311;Mirroring Processes in Social Cognition;3
PSYC 320;Cognitive Neuroscience;3
PSYC 321;Cognitive Neuroscience and Rehabilitation;3
PSYC 322;Developmental Cognitive Neuroscience;3
PSYC 330;Applied Social Psychology;3
PSYC 340;Learning, Remembering, and Thinking;3
PSYC 350;Cognitive and Social Development;3
PSYC 360;Individual Differences and Personality;3
PSYC 375;Genes, Environment and Development in Psychology;3
PSYC 391;Directed Research in Psychology;3
PSYC 399;Summer Training;0
PSYC 401;Senior Thesis I;3
PSYC 402;Senior Thesis II;3
PSYC 405;Introduction to FMRI;3
PSYC 406;Introduction to Electroencephalography (EEG);3
PSYC 410;Neuropsychology;3
PSYC 415;Cognitive Aging;3
PSYC 420;Selected Topics in Cognitive Psychology;3
PSYC 421;Selected Topics in Social Psychology;3
PSYC 422;Selected Topics in Developmental Psychology;3
PSYC 423;Selected Topics in Cognitive Science;3
PSYC 424;Selected Topics in Cognitive Neuroscience;3
PSYC 425;Selected Topics in Neurobiological Psychology;3
PSYC 430;Clinical Psychology;3
PSYC 431;Psychological Testing and Measurement;3
PSYC 433;Abnormal Psychology;3
PSYC 434;Child and Adolescent Psychopathology;3
PSYC 435;Industrial and Organizational Psychology;3
PSYC 438;Interpersonal Relationships;3
PSYC 439;Visual Neuroscience;3
PSYC 482;Mind in Evolution;3
PSYC 483;Theory of Mind;3
PSYC 491;Introduction to Cognitive Psychology;3
PSYC 498;Senior Project I;3
PSYC 499;Senior Project II;3
PSYC 501;Advanced Cognitive Psychology;3
PSYC 502;Advanced Developmental Psychology;3
PSYC 506;Introduction to Electroencephalography (EEG);3
PSYC 510;Advanced Social Psychology;3
PSYC 515;Selected Topics in Psychology I;3
PSYC 520;Advanced Topics in Cognitive Neuroscience;3
PSYC 521;Principles of Functional Magnetic Resonance Imaging;3
PSYC 523;Selected Topics Ýn Cognitive Science;3
PSYC 575;Advanced Training in Psychological Research I;3
PSYC 583;Theory of Mind;3
PSYC 591;Pro-Thesis Seminar I;0
PSYC 599;M.A. Dissertation;0
PSYC 673;Advanced Training in Psychological Research II;3
PSYC 691;Pro-Thesis Seminar II;0
PSYC 699;Ph.D. Dissertation;0
CTE 111;Introduction to Programming I;5
CTE 112;Introduction to Programming II;5
CTE 113;Information Technologies in Education I;4
CTE 114;Information Technologies in Education II;4
CTE 115;Discrete Mathematics;3
CTE 191;Information and Communication Technology;3
CTE 205;Computer Organization;3
CTE 211;Programming Languages I;5
CTE 212;Programming Languages II;4
CTE 216;Introduction to Web Technologies;3
CTE 218;Operating Systems;4
CTE 252;Instructional Design;3
CTE 308;Information Ethics and Security;3
CTE 309;Community Service;3
CTE 311;Database Management Systems;4
CTE 316;Network Structures and Communication;3
CTE 317;Programming for the Internet I;3
CTE 321;Human Computer Interaction;3
CTE 322;Multimedia Design and Development;3
CTE 351;Material Design and Development in Education;3
CTE 400;Summer Training;0
CTE 403;Research Methods in Education;3
CTE 410;Community Service;2
CTE 417;Programming for the Internet II;3
CTE 421;Project Management and Development I;3
CTE 422;Project Management and Development II;4
CI 402;Probability Theory;3
CI 403;Statistics;3
CI 501;Learning Development and Cultural Context for Teaching;3
CI 502;Managing the Classroom;3
CI 503;Educational Leadership and School Development;3
CI 504;Contemporary Issues in Curriculum Development and Evaluation;3
CI 506;IB and IGCSE Curricula;3
CI 507;Educational Research;3
CI 508;Assessing Student Learning and Progress;3
CI 509;Thesis Seminar I;0
CI 510;Thesis Seminar II;0
CI 511;Curriculum in an International Context;3
CI 512;Written Academic Discourse I;0
CI 513;Statistics;3
CI 514;Curriculum Development and Evaluation;3
CI 515;Trends and Issues in Instruction and Assessment;3
CI 516;Child and Adolescent Psychology;3
CI 517;Learning Theories and Practice;3
CI 518;Science of Learning;3
CI 522;Written Academic Discourse II;3
CI 532;Written Academic Discourse;3
CI 541;Motivation in the Classroom;3
CI 599;Master's Thesis;0
CI 601;Instruction: Perspectives and Practice;3
CI 602;Curriculum: Perspectives and Practice;3
CI 603;Practicum in Curriculum Development & Evaluation;3
CI 604;Educational Statistics;3
CI 605;Educational Research Methods;3
CI 606;Qualitative Research Methods;3
CI 608;Current Trends and Issues in Educational Technology;3
CI 611;Issues and Trends in Education;3
CI 690;Dissertation Seminar;0
CI 699;Ph.D. Dissertation;0
BTE 501;Biology Curriculum Review I;3
ETE 503;English Curriculum Review;3
ETE 504;Literature for Young Learners;3
MTE 501;Mathematics Curriculum Review I;3
MTE 503;Computer Technology in Mathematics Education;3
TE 116;Introduction to Education Science;3
TE 203;Educational Psychology;3
TE 204;Principles and Methods of Instruction;3
TE 207;Introduction to Curriculum;3
TE 307;Measurement and Evaluation;3
TE 310;Computer Teaching Methods I;3
TE 312;School Experience I;3
TE 314;Classroom Management;2
TE 318;Turkish Education System and School Management;2
TE 402;Guidance;3
TE 405;Computer Teaching Methods II;3
TE 406;Teaching Practice in Computer Teaching;5
TE 407;School Experience II;3
TE 509;Developmental Psychology;2
TE 510;Curriculum and Instruction;2
TE 518;Measurement and Evaluation;2
TE 519;Classroom Management;2
TE 520;Instructional Technology and Material Design;3
TE 524;Guidance;2
TE 527;Literary Text Review in Teaching Literature;3
TE 528;Introduction to Educational Science;2
TE 529;Turkish Language and Literature Curriculum Review;3
TE 531;English Teaching Methods I;3
TE 532;Biology Teaching Methods I;3
TE 533;Turkish Language Teaching Methods;3
TE 535;Mathematics Teaching Methods I;3
TE 537;Physics Teaching Methods I;3
TE 540;Curriculum Development in Education;2
TE 541;English Teaching Methods II;3
TE 542;Biology Teaching Methods II;3
TE 543;Turkish Literature Teaching Methods;3
TE 545;Mathematics Teaching Methods II;3
TE 547;Physics Teaching Methods II;3
TE 550;Educational Psychology;2
TE 551;School Experience I in English;3
TE 552;School Experience I in Biology;3
TE 553;School Experience I in Turkish Language and Literature;3
TE 555;School Experience I in Mathematics;3
TE 557;School Experience I in Physics;3
TE 560;Physics Curriculum Review;3
TE 561;School Experience II in English;3
TE 562;School Experience II in Biology;3
TE 563;School Experience II in Turkish Language and Literature;3
TE 565;School Experience II in Mathematics;3
TE 567;School Experience II in Physics;3
TE 571;Teaching Practice in English;5
TE 572;Teaching Practice in Biology;5
TE 573;Teaching Practice in Turkish Language and Literature;5
TE 575;Teaching Practice in Mathematics;5
TE 577;Teaching Practice in Physics;5
TE 581;Principles and Methods of Instruction;2
TE 590;Advanced Teaching Practice;0
TEFL 501;Second Language Acquisition;3
TEFL 503;Linguistics: the Nature of Language;3
TEFL 506;Sociolinguistics;3
TEFL 510;Language Testing;3
TEFL 521;EFL Methodology I;3
TEFL 528;Curriculum Development and Evaluation;3
TEFL 530;Materials Development;3
TEFL 531;Research Methods in Linguistics I;3
TEFL 532;Research Methods in Linguistics II;3
TEFL 550;Thesis Seminar;0
TEFL 554;Thesis Writing;0
TEFL 555;Written Academic Discourse;3
TEFL 556;Seminar in TEFL;3
PE 102;Principles of Body Movement;1
PE 110;Tennis;1
PE 115;Squash;1
PE 125;Table Tennis;1
PE 130;Basketball;1
PE 135;Volleyball;1
PE 160;Strength Training;1
PE 173;Vinyasa Flow Yoga;1
PE 176;Beginning Yoga;1
PE 177;Intermediate Yoga;1
PE 178;Beginning Pilates;1
PE 179;Yoga Integrity;1
PE 180;Football (Soccer);1
PE 190;Karate;1
PE 191;JUDO;1
PE 192;Aikido;1
PE 195;Taekwondo;1
PE 205;Orienteering;1
AMER 115;Methods and Texts I;3
AMER 116;Methods and Texts II;3
AMER 195;Introduction to American Studies I;3
AMER 196;Introduction to American Studies II;3
AMER 207;American Texts and Contexts I;4
AMER 208;American Texts and Contexts II;4
AMER 290;Summer Training I;0
AMER 293;American History I;3
AMER 294;American History II;3
AMER 303;Film Studies in American Culture to 1960;4
AMER 304;Film Studies in American Culture Since 1960;4
AMER 343;American Theater;3
AMER 357;American Intellectual History I;3
AMER 358;American Intellectual History II;3
AMER 374;American Poetry;3
AMER 383;American Novel to 1900;3
AMER 384;American Novel From 1900;3
AMER 390;Summer Training II;0
AMER 406;Senior Project;3
AMER 426;American Studies in a Global Context;3
AMER 427;Topics in Theory for American Culture;3
AMER 430;The Thirties: the Great Depression and the New Deal;3
AMER 441;Culture in its Historical Contexts;3
AMER 447;Topics in Cultural Studies;3
AMER 448;American Pragmatism;3
AMER 458;History of American Presidential Campaigns;3
AMER 459;Race and Ethnicity in American Culture;3
AMER 460;Contemporary Native American Writers;3
AMER 468;American Fiction in the 21. Century: Migration, Space, Identity;3
AMER 469;American Law Culture and Society;3
AMER 474;Colonialism and the Making of the New World;3
AMER 476;Selfhood and Emotional Life in American Culture and History;3
AMER 477;American Gothic;3
AMER 480;Hemispheric American Studies;3
AMER 481;Theories of American Culture: An Ethnographic Approach;3
AMER 482;Creative Writing Workshop;3
AMER 483;Freedom and Philosophy in Anglo-America;3
AMER 486;Social Movements in American History;3
AMER 487;Native American Literature;3
AMER 492;Gender Studies in American Culture;3
HART 102;Introduction to Research Skills;3
HART 111;Introduction to Archaeology;3
HART 117;Ways of Seeing: Approaches to Art and Architectural History;3
HART 120;Human Evolution and World Prehistory;3
HART 125;Archaeological Illustration;3
HART 126;Archaeological Planning or Planning and Drawing in the Field;3
HART 206;Mythologies of the Ancient Mediterranean World;3
HART 208;Roman Art and Archaeology;3
HART 212;Introduction to Classical Archaeology;3
HART 219;Anatolian Archaeology, Neolithic to the Iron Age;3
HART 221;Great Discoveries from the Ancient World;3
HART 222;Mesopotamian Archaeology;3
HART 225;Cultural Anthropology;3
HART 227;Greek Archaeology;3
HART 228;UNESCO World Heritage Sites in Turkey-Göbekli Tepe, Çatalhöyük,Troia and Hattusha;3
HART 231;Ancient Greek I;3
HART 232;Ancient Greek II;3
HART 239;Latin I;3
HART 240;Latin II;3
HART 303;Greek Sculpture;3
HART 305;Byzantine and Islamic Art and Archaeology;3
HART 306;Hellenistic and Roman Sculpture;3
HART 307;Monumental Painting;3
HART 308;Greek Vase Painting;3
HART 310;Archaeological Surveying and Planning;3
HART 311;Archaeological Drawing and Planning in the Field;3
HART 313;European Prehistory;3
HART 315;Greek Architecture;3
HART 316;Roman Architecture;3
HART 317;Archaeology of Troy;3
HART 318;Archaeology of Syria and Palestine;3
HART 322;Orientalizing Period;3
HART 325;Hittite Archaeology;3
HART 328;The Aegean Bronze Age;3
HART 330;Egyptian Art and Archaeology;3
HART 333;Ancient Greek III;3
HART 334;Ancient Greek IV;3
HART 335;Monuments of Babylon;3
HART 342;Hittite Grammar I;3
HART 343;Latin III;3
HART 344;Latin IV;3
HART 346;Daily Life in Ancient Greece;3
HART 351;Monuments of Athens;3
HART 352;Monuments of Rome;3
HART 353;Introduction to Akkadian;3
HART 360;Ancient Mesoamerican Civilizations;3
HART 365;Ancient Cities;3
HART 366;The Buried Cities of Campania;3
HART 370;Iron Age Sculpture of the Near East;3
HART 372;Hittite I;3
HART 373;Hittite II;3
HART 374;Hittite III;3
HART 375;Hittite IV;3
HART 380;Archaeology of Phoenicia;3
HART 399;Summer Practice I;0
HART 400;Senior Project;3
HART 401;Summer Practice II;0
HART 403;Greek Sanctuaries;3
HART 409;Museum Practices and the Preservation of Cultural Heritage;3
HART 410;Special Topics in Art, Architecture and Archaeology;3
HART 420;Readings in Prehistory;3
HART 423;Cities, Monuments and Landscapes of Classical Anatolia;3
HART 424;Religion and Society in the Ancient Near East;3
HART 426;Ancient Technologies and Materials;3
HART 430;Readings in Near Eastern Art and Archaeology;3
HART 431;The Archaeology of Cyprus in the Bronze Age;3
HART 433;The Eastern Roman Provinces;3
HART 434;Landscape Archaeology;3
HART 435;Selected Topics in Anatolian Art and Archaeology;3
HART 436;Archaeological Method and Theory;3
HART 439;Neolithic and Chalcolithic Periods in Anatolia;3
HART 440;Readings in Anatolian Art and Archaeology;3
HART 450;Readings in Greek Art and Archaeology;3
HART 453;Palaeolithic Archaeology in Eurasia and the Near East;3
HART 454;Introduction to Sumerology;3
HART 460;Readings in Roman Art and Archaeology;3
HART 470;Readings in Byzantine Art and Archaeology;3
HART 474;Neo-Assyrian Art and Archaeology;3
HART 490;Supervised Study;3
HART 491;Readings from Near Eastern Texts;3
HART 492;Readings From Greek/Latin Texts;3
HART 494;Readings From Greek/Latin Texts II;3
HART 501;Issues in Archaeological Theory;3
HART 503;Issues in Conservation and Preservation;3
HART 507;Pre-Classical Art and Archaeology;3
HART 508;Issues in Pre-Classical Art and Archaeology;3
HART 509;Classical Art and Archaeology;3
HART 510;Issues in Classical Art and Archaeology;3
HART 514;Readings in Classical Archaeology;3
HART 515;Readings in Near Eastern Archaeology;3
HART 516;Supervised Research in Near Eastern Archaeology;3
HART 517;Readings in Anatolian Archaeology;3
HART 518;Supervised Research in Anatolian Archaeology;3
HART 519;Research Directions for Anatolian Archaeology and Art;3
HART 521;Problems in Medieval Art and Archaeology;3
HART 523;Medieval Art and Archaeology;3
HART 524;Issues in Medieval Art and Archaeology;3
HART 542;Hittite I;3
HART 543;Hittite II;3
HART 544;Hittite III;3
HART 545;Hittite IV;3
HART 551;Ancient Greek I;3
HART 552;Ancient Greek II;3
HART 553;Ancient Greek III;3
HART 554;Ancient Greek IV;3
HART 563;Latin I;3
HART 564;Latin II;3
HART 583;Latin III;3
HART 584;Latin IV;3
HART 588;Readings From Greek/Latin Texts;3
HART 590;Seminar;0
HART 599;Master's Thesis;0
CINT 501;Theory of Interpreting;2
CINT 503;Introduction to the Practice of Interpreting;4
CINT 506;EU and International Institutions;4
CINT 509;Advanced Consecutive Interpretation I;6
CINT 510;Advanced Consecutive Interpretation II;6
CINT 513;Advanced Simultaneous Interpreting I;6
CINT 514;Advanced Simultaneous Interpreting II;6
CINT 516;Conference Interpreting;6
CINT 518;Cross Cultural Negotiations;2
CINT 520;Technology and Research for Interpreting;2
CINT 590;Interpreting Seminar;0
ELIT 115;Oral Expression Discussion and Presentation;3
ELIT 139;Appreciation of Literature;3
ELIT 143;Literature in its Contexts;3
ELIT 152;Research and Writing Techniques;3
ELIT 164;Concepts in Literary Studies;3
ELIT 209;Topics in Literary and Cultural Studies;3
ELIT 222;Introduction to Theory and Criticism;3
ELIT 227;Poetry and Poetics;3
ELIT 230;Fiction and Narrative;3
ELIT 242;Introduction to Drama;3
ELIT 246;Drama and Performance;3
ELIT 256;Civil War, Restoration, Revolution;3
ELIT 262;The English Novel (19th Century);3
ELIT 265;Introduction to the Novel;3
ELIT 270;Poetry;3
ELIT 273;Medieval and Renaissance Literature;3
